,zone,store,open,address,tel
0,서울 서대문구,신촌점,영업중,서울특별시 서대문구 연세로 34 (창천동 31-12)  할리스,02-393-2004
1,부산 부산진구,부산서면본점,영업중,"부산광역시 부산진구 동천로 73, DS타워 1~2층 (부전동 부전동 169-1) 할리스",051-819-9117
2,서울 용산구,이태원점,영업중,서울특별시 용산구  이태원로 179,02-749-8752
3,서울 중구,태평로점,영업중,"서울특별시 중구 세종대로 64, 해남빌딩 1층 (태평로2가 70-5) 할리스",02-755-7795
4,서울 강남구,신논현역점,영업중,"서울특별시 강남구 강남대로 478, 제우빌딩 2층 (논현동 200번지) 할리스",02-545-6077
5,서울 관악구,신림점,영업중,서울특별시 관악구 신림로 353-1,02-877-0019
6,경기 수원시 영통구,아주대점,영업중,경기도 수원시 영통구  중부대로 258 (매탄동),031-211-2884
7,경기 성남시 수정구,신흥역점,영업중,경기도 성남시 수정구 산성대로 265 (신흥동) 2층 할리스,031-626-6140
8,부산 해운대구,부산달맞이점,영업중,"부산광역시 해운대구 달맞이길 199, 2~3층 (중동 1488-14) 할리스",051-731-3410
9,서울 마포구,합정역점,영업중,서울특별시 마포구 양화로 36 (합정동 374-1) 할리스,02-6204-1234
